name;user;gender
1st1;Yury Selivanov;M
abalkin;Alexander Belopolsky;M
aeros;Kyle Stanley;M
akheron;Petri Lehtinen;M
akuchling;Andrew Kuchling;M
alex;Alex Gaynor;M
amauryfa;Amaury Forgeot d'Arc;M
ammaraskar;Ammar Askar;M
andrewschoen;Andrew Schoen;M
applio;Davin Potts;M
avassalotti;Alexandre Vassalotti;M
benjaminws;Benjamin W. Smith;M
berkerpeksag;Berker Peksag;M
birkenfeld;Georg Brandl;M
bitdancer;R. David Murray;M
brandtbucher;Brandt Bucher;M
brettcannon;Brett Cannon;M
briancurtin;Brian Curtin;M
cjerdonek;Chris Jerdonek;M
claytron;Clayton Parker;M
coderanger;Noah Kantrowitz;M
corona10;Dong-hee Na;M
CuriousLearner;Sanyam Khurana;M
davidmalcolm;David Malcolm;M
dhellmann;Doug Hellmann;M
di;Dustin Ingram;M
dianaclarke;diana;F
djc;Dirkjan Ochtman;M
doko42;Matthias Klose;M
dstufft;Donald Stufft;M
eliben;Eli Bendersky;M
emilyemorehouse;Emily Morehouse;F
encukou;Petr Viktorin;M
ericsnowcurrently;Eric Snow;M
ericvsmith;Eric V. Smith;M
ethanfurman;Ethan Furman;M
ewdurbin;Ernest W. Durbin III;M
ezio-melotti;Ezio Melotti;M
facundobatista;Facundo Batista;M
frankwiles;Frank Wiles;M
freddrake;Fred Drake;M
glasnt;Katie McLaughlin;F
GMLudo;Ludovic Gasc;M
gpshead;Gregory P. Smith;M
gvanrossum;Guido van Rossum;M
holdenweb;Steve Holden;M
hynek;Hynek Schlawack;M
isidentical;Batuhan Taskaya;M
jackiekazil;Jackie Kazil;F
jackjansen;Jack Jansen;M
jaraco;Jason R. Coombs;M
jcea;Jesús Cea;M
jefftriplett;Jeff Triplett;M
jesstess;Jessica McKellar;F
jezdez;Jannis Leidel;M
JulienPalard;Julien Palard;M
kgrandis;kurt grandis;M
kushaldas;Kushal Das;M
malemburg;Marc-Andre Lemburg;M
Mariatta;Mariatta;F
Martiusweb;Martin Richard;M
matrixise;Stéphane Wirtel;M
mdickinson;Mark Dickinson;M
meadori;Meador Inge;M
methane;Inada Naoki;F
mitsuhiko;Armin Ronacher;M
nascheme;Neil Schemenauer;M
ned-deily;Ned Deily;M
nedbat;Ned Batchelder;M
nlhkabu;Nicole Harris;F
nnja;Nina Zakharenko;F
orsenthil;Senthil Kumaran;M
pablogsal;Pablo Galindo;M
pfmoore;Paul Moore;M
pganssle;Paul Ganssle;M
pitrou;Antoine Pitrou;M
pjenvey;Philip Jenvey;M
pythonchelle;Michelle Rowley;F
rbtcollins;Robert Collins;M
rochacbruno;Bruno Rocha;M
serhiy-storchaka;Serhiy Storchaka;M
sjoerdmullender;Sjoerd Mullender;M
skrah;Stefan Krah;M
stevendaprano;stevendaprano;M
terryjreedy;Terry Jan Reedy;M
tim-one;Tim Peters;M
tiran;Christian Heimes;M
tirkarthi;Karthikeyan Singaravelan;M
tjguk;Tim Golden;M
tpn;Trent Nelson;M
treyhunner;Trey Hunner;M
tswicegood;Travis Swicegood;M
vadmium;Martin Panter;M
VanL;VanL;M
vlasovskikh;Andrey Vlasovskikh;M
vsajip;Vinay Sajip;M
vstinner;Victor Stinner;M
warsaw;Barry Warsaw;M
wolever;David Wolever;M
Yhg1s;T. Wouters;M
zhangyangyu;Xiang Zhang;M
zooba;Steve Dower;M
zware;Zachary Ware;M
